"X(¥ìm)","Z(¥ìm)"
"4292.790 ","1521.599 "
"4304.117 ","1520.653 "
"4315.444 ","1519.231 "
"4326.770 ","1517.863 "
"4338.097 ","1517.868 "
"4349.424 ","1517.818 "
"4360.750 ","1516.350 "
"4372.077 ","1515.653 "
"4383.403 ","1517.797 "
"4394.730 ","1518.646 "
"4406.057 ","1516.564 "
"4417.383 ","1516.134 "
"4428.710 ","1520.876 "
"4440.037 ","1526.145 "
"4451.363 ","1520.204 "
"4462.690 ","1519.330 "
"4474.016 ","1512.542 "
"4485.343 ","1508.421 "
"4496.670 ","1502.728 "
"4507.996 ","1496.070 "
"4519.323 ","1484.501 "
"4530.650 ","1477.014 "
"4541.976 ","1466.041 "
"4553.303 ","1454.466 "
"4564.629 ","1439.827 "
"4575.956 ","1427.531 "
"4587.283 ","1414.786 "
"4598.609 ","1406.339 "
"4609.936 ","1400.586 "
"4621.263 ","1393.699 "
"4632.589 ","1387.460 "
"4643.916 ","1385.901 "
"4655.242 ","1383.467 "
"4666.569 ","1380.705 "
"4677.896 ","1377.323 "
"4689.222 ","1376.877 "
"4700.549 ","1374.962 "
"4711.876 ","1371.488 "
"4723.202 ","1369.504 "
"4734.529 ","1368.440 "
"4745.855 ","1366.102 "
"4757.182 ","1361.780 "
"4768.509 ","1360.618 "
"4779.835 ","1360.245 "
"4791.162 ","1355.910 "
"4802.489 ","1356.123 "
"4813.815 ","1356.517 "
"4825.142 ","1353.640 "
"4836.468 ","1355.898 "
"4847.795 ","1353.133 "
"4859.122 ","1352.659 "
"4870.448 ","1352.825 "
"4881.775 ","1354.255 "
"4893.102 ","1354.007 "
"4904.428 ","1354.109 "
"4915.755 ","1352.391 "
"4927.081 ","1354.057 "
"4938.408 ","1354.850 "
"4949.735 ","1353.746 "
"4961.061 ","1355.305 "
"4972.388 ","1355.144 "
"4983.715 ","1353.239 "
"4995.041 ","1350.937 "
"5006.368 ","1349.692 "
"5017.694 ","1347.590 "
"5029.021 ","1346.116 "
"5040.348 ","1341.955 "
"5051.674 ","1340.029 "
"5063.001 ","1338.032 "
"5074.328 ","1334.628 "
"5085.654 ","1333.303 "
"5096.981 ","1333.484 "
"5108.307 ","1331.338 "
"5119.634 ","1329.930 "
"5130.961 ","1328.227 "
"5142.287 ","1322.970 "
"5153.614 ","1322.091 "
"5164.941 ","1320.036 "
"5176.267 ","1317.511 "
"5187.594 ","1316.341 "
"5198.920 ","1314.939 "
"5210.247 ","1314.283 "
"5221.574 ","1316.203 "
"5232.900 ","1317.334 "
"5244.227 ","1316.928 "
"5255.554 ","1318.575 "
"5266.880 ","1322.280 "
"5278.207 ","1327.418 "
"5289.533 ","1327.873 "
"5300.860 ","1331.394 "
"5312.187 ","1336.035 "
"5323.513 ","1339.669 "
"5334.840 ","1342.258 "
"5346.167 ","1346.558 "
"5357.493 ","1351.930 "
"5368.820 ","1356.637 "
"5380.146 ","1359.475 "
"5391.473 ","1364.596 "
"5402.800 ","1370.135 "
"5414.126 ","1376.069 "
"5425.453 ","1381.635 "
"5436.780 ","1386.449 "
"5448.106 ","1393.928 "
"5459.433 ","1401.183 "
"5470.759 ","1406.214 "
"5482.086 ","1411.938 "
"5493.413 ","1417.677 "
"5504.739 ","1424.941 "
"5516.066 ","1431.965 "
"5527.393 ","1435.883 "
"5538.719 ","1443.069 "
"5550.046 ","1448.893 "
"5561.372 ","1453.272 "
"5572.699 ","1458.985 "
"5584.026 ","1461.974 "
"5595.352 ","1467.341 "
"5606.679 ","1472.544 "
"5618.006 ","1476.701 "
"5629.332 ","1480.263 "
"5640.659 ","1480.944 "
"5651.985 ","1484.525 "
"5663.312 ","1486.499 "
"5674.639 ","1488.300 "
"5685.965 ","1491.317 "
"5697.292 ","1492.015 "
"5708.618 ","1494.696 "
"5719.945 ","1495.260 "
"5731.272 ","1495.930 "
"5742.598 ","1497.017 "
"5753.925 ","1497.701 "
"5765.252 ","1497.239 "
"5776.578 ","1497.021 "
"5787.905 ","1497.416 "
"5799.231 ","1497.442 "
"5810.558 ","1497.910 "
"5821.885 ","1498.183 "
"5833.211 ","1497.451 "
"5844.538 ","1497.245 "
"5855.865 ","1496.230 "
"5867.191 ","1495.105 "
"5878.518 ","1494.880 "
"5889.844 ","1493.234 "
"5901.171 ","1491.440 "
"5912.498 ","1487.896 "
"5923.824 ","1482.371 "
"5935.151 ","1480.426 "
"5946.478 ","1476.556 "
"5957.804 ","1470.862 "
"5969.131 ","1466.222 "
"5980.457 ","1462.708 "
"5991.784 ","1458.727 "
"6003.111 ","1455.928 "
"6014.437 ","1453.031 "
"6025.764 ","1449.596 "
"6037.091 ","1446.972 "
"6048.417 ","1447.504 "
"6059.744 ","1442.459 "
"6071.070 ","1436.687 "
"6082.397 ","1431.936 "
"6093.724 ","1428.951 "
"6105.050 ","1425.734 "
"6116.377 ","1422.286 "
"6127.704 ","1416.894 "
"6139.030 ","1412.710 "
"6150.357 ","1409.445 "
"6161.683 ","1403.942 "
"6173.010 ","1400.436 "
